workload,category,rows,cols,cluster_size,shared_bytes_per_cta,cluster_ms,cluster_p20_ms,cluster_p80_ms,control_overhead_ms,saved_hbm_ms,local_staging_ms,dsmem_store_ms,predicted_delta_ms,predicted_profitable,measured_delta_vs_block_ms,measured_profitable_vs_block,model_version,effective_bandwidth_gbps,saved_reread_ms,local_replay_ms,local_store_residual_ms
weighted_var_backward,normalization,4096,16384,2,98304,0.557833,0.5574678,0.5583206000000001,0.103375,0.41810159999999996,0.1497297532529701,2.9778363891606753e-05,0.16496706838313824,True,0.139003,True,effective-bandwidth-overlap-v2,3852.2041915170857,0.41810159999999996,0.1497297532529701,0.0
weighted_var_backward,normalization,4096,16384,4,49152,0.497081,0.4968912,0.49714400000000003,0.128422,0.41810159999999996,0.14854142187794653,0.00017725216602146877,0.14096092595603193,True,0.19975500000000002,True,effective-bandwidth-overlap-v2,3852.2041915170857,0.41810159999999996,0.14854142187794653,0.0
weighted_var_backward,normalization,4096,16384,8,24576,0.487549,0.4874026,0.4875886,0.147959,0.41810159999999996,0.15210641600301722,0.0008470290173612588,0.11718915497962147,True,0.209287,True,effective-bandwidth-overlap-v2,3852.2041915170857,0.41810159999999996,0.15210641600301722,0.0
weighted_var_backward,normalization,4096,32768,2,196608,1.42448,1.4080160000000002,1.424538,0.185782,1.065306,0.2994595065059402,2.9778363891606753e-05,0.5800347151301682,True,0.35102999999999995,True,effective-bandwidth-overlap-v2,3023.7560588225356,1.065306,0.2994595065059402,0.0
weighted_var_backward,normalization,4096,32768,4,98304,1.17981,1.17859,1.179964,0.238165,1.065306,0.29708284375589306,0.00017725216602146877,0.5298809040780856,True,0.5956999999999999,True,effective-bandwidth-overlap-v2,3023.7560588225356,1.065306,0.29708284375589306,0.0
weighted_var_backward,normalization,4096,32768,8,49152,1.00282,1.002016,1.00401,0.276958,1.065306,0.30421283200603444,0.0008470290173612588,0.48328813897660433,True,0.7726899999999999,True,effective-bandwidth-overlap-v2,3023.7560588225356,1.065306,0.30421283200603444,0.0
weighted_var_backward,normalization,4096,65536,4,196608,3.08363,3.0820860000000003,3.090976,0.4509,2.147628,0.5941656875117861,0.00017725216602146877,1.1023850603221923,True,0.49575000000000014,True,effective-bandwidth-overlap-v2,2999.79835613989,2.147628,0.5941656875117861,0.0
weighted_var_backward,normalization,4096,65536,8,98304,2.48964,2.484312,2.4905820000000003,0.532712,2.147628,0.6084256640120689,0.0008470290173612588,1.00564330697057,True,1.08974,True,effective-bandwidth-overlap-v2,2999.79835613989,2.147628,0.6084256640120689,0.0
pearson_backward,pairwise statistics,4096,4096,2,16384,0.106368,0.1063088,0.1063858,0.021752,0.031551133333333335,0.024954958875495016,2.9778363891606753e-05,-0.015185603906053289,False,-0.011714600000000006,False,effective-bandwidth-overlap-v2,4253.974859857121,0.031551133333333335,0.024954958875495016,0.0
pearson_backward,pairwise statistics,4096,4096,4,8192,0.13192,0.131718,0.1320252,0.0487046,0.031551133333333335,0.02475690364632442,0.00017725216602146877,-0.04208762247901256,False,-0.03726660000000001,False,effective-bandwidth-overlap-v2,4253.974859857121,0.031551133333333335,0.02475690364632442,0.0
pearson_backward,pairwise statistics,4096,4096,8,4096,0.240338,0.240135,0.24059339999999999,0.101963,0.031551133333333335,0.02535106933383621,0.0008470290173612588,-0.09660996501786413,False,-0.1456846,False,effective-bandwidth-overlap-v2,4253.974859857121,0.031551133333333335,0.02535106933383621,0.0
pearson_backward,pairwise statistics,4096,8192,2,32768,0.185863,0.1857314,0.1859206,0.0271885,0.06290566666666667,0.04990991775099003,2.9778363891606753e-05,-0.014222529448214978,False,0.0028539999999999954,True,effective-bandwidth-overlap-v2,4267.269869699073,0.06290566666666667,0.04990991775099003,0.0
