cols,rows,block_variant,block_ms,cluster_variant,cluster_ms,cluster_size,trial,workload
16384,4096,block_smem,0.51898,cluster_smem,0.435476,8,2,pearson_backward
32768,4096,block_read,1.13206,cluster_smem,0.744855,8,2,pearson_backward
65536,4096,block_read,2.27728,cluster_smem,1.56613,8,2,pearson_backward
4096,4096,block_smem,0.0947053,cluster_smem,0.240583,8,3,pearson_backward
8192,4096,block_smem,0.188687,cluster_smem,0.265276,8,3,pearson_backward
16384,4096,block_smem,0.518717,cluster_smem,0.435376,8,3,pearson_backward
32768,4096,block_read,1.1306,cluster_smem,0.745695,8,3,pearson_backward
65536,4096,block_read,2.28689,cluster_smem,1.55969,8,3,pearson_backward
4096,4096,block_smem,0.0946426,cluster_smem,0.240635,8,4,pearson_backward
8192,4096,block_smem,0.188721,cluster_smem,0.265169,8,4,pearson_backward
16384,4096,block_smem,0.522702,cluster_smem,0.438461,8,4,pearson_backward
32768,4096,block_read,1.13231,cluster_smem,0.745577,8,4,pearson_backward
65536,4096,block_read,2.28837,cluster_smem,1.55836,8,4,pearson_backward
4096,4096,block_smem,0.0743738,cluster_smem,0.0961962,2,0,softmax_logits_backward
8192,4096,block_smem,0.153477,cluster_smem,0.162391,2,0,softmax_logits_backward
16384,4096,block_smem,0.522382,cluster_smem,0.32046,2,0,softmax_logits_backward
32768,4096,block_read,1.25844,cluster_smem,1.12676,2,0,softmax_logits_backward
65536,4096,block_read,2.53952,n/a,nan,2,0,softmax_logits_backward
4096,4096,block_smem,0.0742976,cluster_smem,0.096159,2,1,softmax_logits_backward
8192,4096,block_smem,0.153374,cluster_smem,0.162208,2,1,softmax_logits_backward
16384,4096,block_smem,0.522294,cluster_smem,0.320183,2,1,softmax_logits_backward
32768,4096,block_read,1.2598,cluster_smem,1.12779,2,1,softmax_logits_backward
65536,4096,block_read,2.54261,n/a,nan,2,1,softmax_logits_backward
4096,4096,block_smem,0.074201,cluster_smem,0.0960986,2,2,softmax_logits_backward
8192,4096,block_smem,0.153221,cluster_smem,0.162347,2,2,softmax_logits_backward
16384,4096,block_smem,0.521532,cluster_smem,0.320595,2,2,softmax_logits_backward
32768,4096,block_read,1.25735,cluster_smem,1.12729,2,2,softmax_logits_backward
65536,4096,block_read,2.54465,n/a,nan,2,2,softmax_logits_backward
4096,4096,block_smem,0.0743642,cluster_smem,0.0962266,2,3,softmax_logits_backward
8192,4096,block_smem,0.153246,cluster_smem,0.162458,2,3,softmax_logits_backward
16384,4096,block_smem,0.522387,cluster_smem,0.320223,2,3,softmax_logits_backward
32768,4096,block_read,1.25922,cluster_smem,1.12777,2,3,softmax_logits_backward
65536,4096,block_read,2.54347,n/a,nan,2,3,softmax_logits_backward
4096,4096,block_smem,0.0742214,cluster_smem,0.0962342,2,4,softmax_logits_backward
8192,4096,block_smem,0.153328,cluster_smem,0.162386,2,4,softmax_logits_backward
16384,4096,block_smem,0.522402,cluster_smem,0.320404,2,4,softmax_logits_backward
32768,4096,block_read,1.25967,cluster_smem,1.12834,2,4,softmax_logits_backward
65536,4096,block_read,2.53955,n/a,nan,2,4,softmax_logits_backward
4096,4096,block_smem,0.0741856,cluster_smem,0.148039,4,0,softmax_logits_backward
8192,4096,block_smem,0.153267,cluster_smem,0.194694,4,0,softmax_logits_backward
16384,4096,block_smem,0.522215,cluster_smem,0.328951,4,0,softmax_logits_backward
32768,4096,block_read,1.25928,cluster_smem,0.672913,4,0,softmax_logits_backward
65536,4096,block_read,2.54277,cluster_smem,2.38123,4,0,softmax_logits_backward
4096,4096,block_smem,0.0740573,cluster_smem,0.147963,4,1,softmax_logits_backward
8192,4096,block_smem,0.153298,cluster_smem,0.194843,4,1,softmax_logits_backward
16384,4096,block_smem,0.52247,cluster_smem,0.329117,4,1,softmax_logits_backward
32768,4096,block_read,1.25939,cluster_smem,0.673074,4,1,softmax_logits_backward
65536,4096,block_read,2.53908,cluster_smem,2.38225,4,1,softmax_logits_backward
4096,4096,block_smem,0.0739894,cluster_smem,0.14794,4,2,softmax_logits_backward
8192,4096,block_smem,0.153347,cluster_smem,0.1947,4,2,softmax_logits_backward
16384,4096,block_smem,0.522252,cluster_smem,0.328954,4,2,softmax_logits_backward
32768,4096,block_read,1.25874,cluster_smem,0.672082,4,2,softmax_logits_backward
65536,4096,block_read,2.54317,cluster_smem,2.38006,4,2,softmax_logits_backward
4096,4096,block_smem,0.0743354,cluster_smem,0.148638,4,3,softmax_logits_backward
8192,4096,block_smem,0.153408,cluster_smem,0.195009,4,3,softmax_logits_backward
16384,4096,block_smem,0.521638,cluster_smem,0.328893,4,3,softmax_logits_backward
32768,4096,block_read,1.25749,cluster_smem,0.670736,4,3,softmax_logits_backward
65536,4096,block_read,2.54454,cluster_smem,2.39035,4,3,softmax_logits_backward
4096,4096,block_smem,0.074431,cluster_smem,0.148553,4,4,softmax_logits_backward
8192,4096,block_smem,0.15363,cluster_smem,0.195206,4,4,softmax_logits_backward
16384,4096,block_smem,0.522411,cluster_smem,0.329322,4,4,softmax_logits_backward
32768,4096,block_read,1.2595,cluster_smem,0.673407,4,4,softmax_logits_backward
65536,4096,block_read,2.54326,cluster_smem,2.3821,4,4,softmax_logits_backward
4096,4096,block_smem,0.0742608,cluster_smem,0.29229,8,0,softmax_logits_backward
8192,4096,block_smem,0.15334,cluster_smem,0.307209,8,0,softmax_logits_backward
16384,4096,block_smem,0.522297,cluster_smem,0.397042,8,0,softmax_logits_backward
32768,4096,block_read,1.25864,cluster_smem,0.670789,8,0,softmax_logits_backward
65536,4096,block_read,2.54308,cluster_smem,1.40713,8,0,softmax_logits_backward
4096,4096,block_smem,0.0742211,cluster_smem,0.292168,8,1,softmax_logits_backward
8192,4096,block_smem,0.153392,cluster_smem,0.307438,8,1,softmax_logits_backward
16384,4096,block_smem,0.522324,cluster_smem,0.396649,8,1,softmax_logits_backward
32768,4096,block_read,1.25891,cluster_smem,0.670228,8,1,softmax_logits_backward
65536,4096,block_read,2.54312,cluster_smem,1.406,8,1,softmax_logits_backward
4096,4096,block_smem,0.0743142,cluster_smem,0.292089,8,2,softmax_logits_backward
8192,4096,block_smem,0.153566,cluster_smem,0.306901,8,2,softmax_logits_backward
16384,4096,block_smem,0.52171,cluster_smem,0.396981,8,2,softmax_logits_backward
32768,4096,block_read,1.25784,cluster_smem,0.670396,8,2,softmax_logits_backward
65536,4096,block_read,2.54294,cluster_smem,1.40532,8,2,softmax_logits_backward
4096,4096,block_smem,0.0741725,cluster_smem,0.292222,8,3,softmax_logits_backward
8192,4096,block_smem,0.153271,cluster_smem,0.307243,8,3,softmax_logits_backward
16384,4096,block_smem,0.521517,cluster_smem,0.396456,8,3,softmax_logits_backward
32768,4096,block_read,1.25748,cluster_smem,0.670378,8,3,softmax_logits_backward
65536,4096,block_read,2.54297,cluster_smem,1.4075,8,3,softmax_logits_backward
4096,4096,block_smem,0.0743811,cluster_smem,0.292481,8,4,softmax_logits_backward
8192,4096,block_smem,0.153504,cluster_smem,0.307123,8,4,softmax_logits_backward
16384,4096,block_smem,0.522958,cluster_smem,0.39734,8,4,softmax_logits_backward
32768,4096,block_read,1.25889,cluster_smem,0.670569,8,4,softmax_logits_backward
65536,4096,block_read,2.54296,cluster_smem,1.40609,8,4,softmax_logits_backward
4096,4096,block_smem,0.120881,cluster_smem,0.118256,2,0,lars_momentum
8192,4096,block_smem,0.276364,cluster_smem,0.233798,2,0,lars_momentum
16384,4096,block_smem,0.74047,cluster_smem,0.511583,2,0,lars_momentum
32768,4096,block_read,1.48867,cluster_smem,1.29536,2,0,lars_momentum
65536,4096,block_read,3.00087,n/a,nan,2,0,lars_momentum
4096,4096,block_smem,0.120824,cluster_smem,0.118291,2,1,lars_momentum
8192,4096,block_smem,0.275995,cluster_smem,0.233741,2,1,lars_momentum
16384,4096,block_smem,0.733908,cluster_smem,0.512382,2,1,lars_momentum
32768,4096,block_read,1.48633,cluster_smem,1.29055,2,1,lars_momentum
65536,4096,block_read,3.0073,n/a,nan,2,1,lars_momentum
4096,4096,block_smem,0.120812,cluster_smem,0.118319,2,2,lars_momentum
8192,4096,block_smem,0.276083,cluster_smem,0.233752,2,2,lars_momentum
16384,4096,block_smem,0.740769,cluster_smem,0.511729,2,2,lars_momentum
32768,4096,block_read,1.48889,cluster_smem,1.29589,2,2,lars_momentum
65536,4096,block_read,2.99944,n/a,nan,2,2,lars_momentum
4096,4096,block_smem,0.120839,cluster_smem,0.118283,2,3,lars_momentum
8192,4096,block_smem,0.27632,cluster_smem,0.233813,2,3,lars_momentum
16384,4096,block_smem,0.73388,cluster_smem,0.512355,2,3,lars_momentum
32768,4096,block_read,1.48666,cluster_smem,1.29036,2,3,lars_momentum
65536,4096,block_read,3.01174,n/a,nan,2,3,lars_momentum
4096,4096,block_smem,0.120626,cluster_smem,0.118161,2,4,lars_momentum
8192,4096,block_smem,0.27602,cluster_smem,0.233642,2,4,lars_momentum
