cols,rows,block_variant,block_ms,cluster_variant,cluster_ms,cluster_size,trial,workload
4096,4096,block_smem,0.120142,cluster_smem,0.121533,2,3,softmax_logits_backward
8192,4096,block_smem,0.254135,cluster_smem,0.25404,2,3,softmax_logits_backward
16384,4096,block_read,1.02188,cluster_smem,0.504683,2,3,softmax_logits_backward
32768,4096,block_read,2.34947,n/a,nan,2,3,softmax_logits_backward
65536,4096,block_read,4.75768,n/a,nan,2,3,softmax_logits_backward
4096,4096,block_smem,0.119843,cluster_smem,0.122297,2,4,softmax_logits_backward
8192,4096,block_smem,0.25408,cluster_smem,0.254268,2,4,softmax_logits_backward
16384,4096,block_read,1.01651,cluster_smem,0.504711,2,4,softmax_logits_backward
32768,4096,block_read,2.34361,n/a,nan,2,4,softmax_logits_backward
65536,4096,block_read,4.76041,n/a,nan,2,4,softmax_logits_backward
4096,4096,block_smem,0.120025,cluster_smem,0.179022,4,0,softmax_logits_backward
8192,4096,block_smem,0.254024,cluster_smem,0.250424,4,0,softmax_logits_backward
16384,4096,block_read,1.01932,cluster_smem,0.508999,4,0,softmax_logits_backward
32768,4096,block_read,2.34749,cluster_smem,1.01029,4,0,softmax_logits_backward
65536,4096,block_read,4.75972,n/a,nan,4,0,softmax_logits_backward
4096,4096,block_smem,0.119783,cluster_smem,0.179637,4,1,softmax_logits_backward
8192,4096,block_smem,0.253956,cluster_smem,0.250548,4,1,softmax_logits_backward
16384,4096,block_read,1.01711,cluster_smem,0.508881,4,1,softmax_logits_backward
32768,4096,block_read,2.34314,cluster_smem,1.01071,4,1,softmax_logits_backward
65536,4096,block_read,4.75967,n/a,nan,4,1,softmax_logits_backward
4096,4096,block_smem,0.119817,cluster_smem,0.17964,4,2,softmax_logits_backward
8192,4096,block_smem,0.254119,cluster_smem,0.250546,4,2,softmax_logits_backward
16384,4096,block_read,1.01537,cluster_smem,0.508531,4,2,softmax_logits_backward
32768,4096,block_read,2.3472,cluster_smem,1.01046,4,2,softmax_logits_backward
65536,4096,block_read,4.75927,n/a,nan,4,2,softmax_logits_backward
4096,4096,block_smem,0.12,cluster_smem,0.179617,4,3,softmax_logits_backward
8192,4096,block_smem,0.254078,cluster_smem,0.250503,4,3,softmax_logits_backward
16384,4096,block_read,1.01803,cluster_smem,0.508983,4,3,softmax_logits_backward
32768,4096,block_read,2.34429,cluster_smem,1.00984,4,3,softmax_logits_backward
65536,4096,block_read,4.7608,n/a,nan,4,3,softmax_logits_backward
4096,4096,block_smem,0.1199,cluster_smem,0.179258,4,4,softmax_logits_backward
8192,4096,block_smem,0.254064,cluster_smem,0.250462,4,4,softmax_logits_backward
16384,4096,block_read,1.01709,cluster_smem,0.509087,4,4,softmax_logits_backward
32768,4096,block_read,2.3338,cluster_smem,1.01066,4,4,softmax_logits_backward
65536,4096,block_read,4.76006,n/a,nan,4,4,softmax_logits_backward
4096,4096,block_smem,0.119888,cluster_smem,0.401213,8,0,softmax_logits_backward
8192,4096,block_smem,0.254106,cluster_smem,0.391176,8,0,softmax_logits_backward
16384,4096,block_read,1.01924,cluster_smem,0.501592,8,0,softmax_logits_backward
32768,4096,block_read,2.34968,cluster_smem,1.02008,8,0,softmax_logits_backward
65536,4096,block_read,4.75946,cluster_smem,2.01048,8,0,softmax_logits_backward
4096,4096,block_smem,0.119977,cluster_smem,0.402778,8,1,softmax_logits_backward
8192,4096,block_smem,0.25398,cluster_smem,0.391383,8,1,softmax_logits_backward
16384,4096,block_read,1.01668,cluster_smem,0.501612,8,1,softmax_logits_backward
32768,4096,block_read,2.34425,cluster_smem,1.01862,8,1,softmax_logits_backward
65536,4096,block_read,4.7594,cluster_smem,2.00794,8,1,softmax_logits_backward
4096,4096,block_smem,0.119704,cluster_smem,0.402325,8,2,softmax_logits_backward
8192,4096,block_smem,0.254141,cluster_smem,0.391318,8,2,softmax_logits_backward
16384,4096,block_read,1.01818,cluster_smem,0.501503,8,2,softmax_logits_backward
32768,4096,block_read,2.34019,cluster_smem,1.0201,8,2,softmax_logits_backward
65536,4096,block_read,4.76064,cluster_smem,2.00764,8,2,softmax_logits_backward
4096,4096,block_smem,0.119787,cluster_smem,0.40271,8,3,softmax_logits_backward
8192,4096,block_smem,0.254117,cluster_smem,0.391399,8,3,softmax_logits_backward
16384,4096,block_read,1.01957,cluster_smem,0.501672,8,3,softmax_logits_backward
32768,4096,block_read,2.34502,cluster_smem,1.02014,8,3,softmax_logits_backward
65536,4096,block_read,4.7602,cluster_smem,2.00806,8,3,softmax_logits_backward
4096,4096,block_smem,0.119812,cluster_smem,0.402517,8,4,softmax_logits_backward
8192,4096,block_smem,0.25419,cluster_smem,0.391506,8,4,softmax_logits_backward
16384,4096,block_read,1.01678,cluster_smem,0.501687,8,4,softmax_logits_backward
32768,4096,block_read,2.34035,cluster_smem,1.0203,8,4,softmax_logits_backward
65536,4096,block_read,4.76124,cluster_smem,2.01049,8,4,softmax_logits_backward
4096,4096,block_smem,0.215699,cluster_smem,0.214905,2,0,lars_momentum
8192,4096,block_smem,0.431755,cluster_smem,0.431315,2,0,lars_momentum
16384,4096,block_read,1.38498,cluster_smem,0.86382,2,0,lars_momentum
32768,4096,block_read,2.78263,n/a,nan,2,0,lars_momentum
65536,4096,block_read,5.61781,n/a,nan,2,0,lars_momentum
4096,4096,block_smem,0.215639,cluster_smem,0.215005,2,1,lars_momentum
8192,4096,block_smem,0.431927,cluster_smem,0.431498,2,1,lars_momentum
16384,4096,block_read,1.38489,cluster_smem,0.863953,2,1,lars_momentum
32768,4096,block_read,2.79417,n/a,nan,2,1,lars_momentum
65536,4096,block_read,5.61668,n/a,nan,2,1,lars_momentum
4096,4096,block_smem,0.215762,cluster_smem,0.214779,2,2,lars_momentum
8192,4096,block_smem,0.431453,cluster_smem,0.431444,2,2,lars_momentum
16384,4096,block_read,1.3848,cluster_smem,0.863965,2,2,lars_momentum
32768,4096,block_read,2.79406,n/a,nan,2,2,lars_momentum
65536,4096,block_read,5.61702,n/a,nan,2,2,lars_momentum
4096,4096,block_smem,0.215787,cluster_smem,0.21492,2,3,lars_momentum
8192,4096,block_smem,0.431784,cluster_smem,0.431468,2,3,lars_momentum
16384,4096,block_read,1.38449,cluster_smem,0.863737,2,3,lars_momentum
32768,4096,block_read,2.79425,n/a,nan,2,3,lars_momentum
65536,4096,block_read,5.61656,n/a,nan,2,3,lars_momentum
4096,4096,block_smem,0.215764,cluster_smem,0.214943,2,4,lars_momentum
8192,4096,block_smem,0.431796,cluster_smem,0.431519,2,4,lars_momentum
16384,4096,block_read,1.38491,cluster_smem,0.863803,2,4,lars_momentum
32768,4096,block_read,2.79735,n/a,nan,2,4,lars_momentum
65536,4096,block_read,5.61934,n/a,nan,2,4,lars_momentum
4096,4096,block_smem,0.21562,cluster_smem,0.213827,4,0,lars_momentum
8192,4096,block_smem,0.431904,cluster_smem,0.430704,4,0,lars_momentum
16384,4096,block_read,1.38465,cluster_smem,0.86424,4,0,lars_momentum
