workload,category,rows,cols,cluster_size,shared_bytes_per_cta,cluster_ms,cluster_p20_ms,cluster_p80_ms,control_overhead_ms,saved_hbm_ms,local_staging_ms,dsmem_store_ms,predicted_delta_ms,predicted_profitable,measured_delta_vs_block_ms,measured_profitable_vs_block
rowwise_quant,quantization,4096,4096,4,4096,0.100391,0.10038100000000001,0.1003946,0.0286598,0.009920129411173073,0.015946322268988518,0.00022802187148563227,-0.03491401472930108,False,-0.083991,False
rowwise_quant,quantization,4096,4096,8,2048,0.202526,0.20237660000000002,0.20268239999999998,0.0624394,0.009920129411173073,0.015946322268988518,0.0010641020669329506,-0.0695296949247484,False,-0.186126,False
rowwise_quant,quantization,4096,8192,2,16384,0.0880362,0.08801418,0.08806351999999999,0.0122838,0.09022373337097761,0.031892644537977036,3.800364524760538e-05,0.04600928518775297,True,-0.0005094999999999961,False
rowwise_quant,quantization,4096,8192,4,8192,0.127179,0.1269962,0.1282008,0.0286179,0.09022373337097761,0.031892644537977036,0.00022802187148563227,0.02948516696151494,True,-0.03965229999999999,False
rowwise_quant,quantization,4096,8192,8,4096,0.244506,0.2444068,0.2455992,0.0623942,0.09022373337097761,0.031892644537977036,0.0010641020669329506,-0.005127213233932373,False,-0.1569793,False
rowwise_quant,quantization,4096,16384,2,32768,0.202579,0.2024682,0.20266699999999999,0.0122915,0.18044746674195522,0.06378528907595407,3.800364524760538e-05,0.10433267402075354,True,0.0007009999999999794,True
rowwise_quant,quantization,4096,16384,4,16384,0.202548,0.202386,0.2027266,0.0286429,0.18044746674195522,0.06378528907595407,0.00022802187148563227,0.08779125579451552,True,0.0007319999999999827,True
rowwise_quant,quantization,4096,16384,8,8192,0.266602,0.26643639999999996,0.2683754,0.0624317,0.18044746674195522,0.06378528907595407,0.0010641020669329506,0.05316637559906819,True,-0.06332200000000002,False
rowwise_quant,quantization,4096,32768,2,65536,0.40814,0.4081084,0.40815840000000003,0.0266147,0.36089493348391044,0.12757057815190814,3.800364524760538e-05,0.2066716516867547,True,0.367385,True
rowwise_quant,quantization,4096,32768,4,32768,0.415447,0.413732,0.4156478,0.0284886,0.36089493348391044,0.12757057815190814,0.00022802187148563227,0.2046077334605167,True,0.360078,True
rowwise_quant,quantization,4096,32768,8,16384,0.404262,0.40395479999999995,0.40487059999999997,0.0620035,0.36089493348391044,0.12757057815190814,0.0010641020669329506,0.17025675326506937,True,0.371263,True
rowwise_quant,quantization,4096,65536,4,65536,0.817186,0.817153,0.8172674,0.057327,0.7217898669678209,0.2551411563038163,0.00022802187148563227,0.40909368879251895,True,0.778864,True
rowwise_quant,quantization,4096,65536,8,32768,0.825873,0.8240497999999999,0.8278272000000001,0.0617936,0.7217898669678209,0.2551411563038163,0.0010641020669329506,0.4037910085970716,True,0.770177,True
